Topic	Doc_ID	Title	Tag
-1	0	Holding Device Configured to Support a Plurality of Medical Containers Such as Syringes	Tag
-1	1	TRANSMISSION IMAGING DETECTION DEVICE AND ITS COMPUTERIZED TOMOGRAPHY SYSTEM	Tag
-1	2	HAIR OIL APPLICATOR	Tag
20	3	AUTOMATIC RELEASE CLAMP	Tag
4	4	SYSTEMS AND METHODS FOR ORGANIZING CONTENT FOR MOBILE MEDIA SERVICES	Tag
7	5	ILLUMINATION SYSTEM AND PROJECTION APPARATUS	Tag
-1	6	System and Method for High Throughput Mass Spectrometry Analysis	Tag
-1	7	FLOW PATH SEALING STRUCTURE, BAG-SHAPED CONTAINER, AND METHOD OF MANUFACTURING THE SAME	Tag
-1	8	BEVERAGE CONTAINER	Tag
4	9	Providing Answers To Voice Queries Using User Feedback	Tag
1	10	BATTERY PACK	Tag
4	11	UNLOCK AND RECOVERY FOR ENCRYPTED DEVICES	Tag
6	12	DISPLAY DEVICE AND TILED DISPLAY DEVICE INCLUDING THE SAME	Tag
7	13	OPTICAL MODULE	Tag
6	14	LIQUID CRYSTAL DISPLAY DEVICE, METHOD FOR DRIVING THE SAME, AND ELECTRONIC DEVICE INCLUDING THE SAME	Tag
19	15	SYSTEMS AND METHODS FOR COLLISION AVOIDANCE	Tag
-1	16	PROJECTOR AND METHOD FOR CONTROLLING A PROJECTOR TO POWER ON OR OFF	Tag
-1	17	CONTACT PIN FOR TESTING SEMICONDUCTOR IC FOR HIGH SPEED SIGNAL, SPRING CONTACT INCLUCING SAME, AND SOCKET DEVICE	Tag
-1	18	HYDROELECTRIC POWER GENERATION SYSTEM	Tag
4	19	HIGH PRECISION TIMESTAMP DETECTION FOR IMPROVED CABLE MODEM CLOCK SYNCHRONIZATION	Tag
-1	20	RADIATION TUBE ATTACHMENT MEMBER, RADIATION SOURCE, AND TOMOSYNTHESIS IMAGING APPARATUS	Tag
4	21	AUTONOMOUS AND EXTENSIBLE RESOURCE CONTROL BASED ON SOFTWARE PRIORITY HINT	Tag
7	22	SEMICONDUCTOR LASER DEVICE AND OPTICAL APPARATUS	Tag
4	23	MITIGATION OF PHISHING RISK	Tag
0	24	SEMICONDUCTOR DEVICE EXAMINATION METHOD AND SEMICONDUCTOR DEVICE EXAMINATION DEVICE	Tag
0	25	METHOD OF FORMING A CONTACT PLUG IN A SEMICONDUCTOR INTEGRATED CIRCUIT DEVICE	Tag
18	26	SYSTEM AND METHOD FOR ARRHYTHMIA DETECTION DURING AN AT HOME SLEEP TEST	Tag
13	27	LINEAR COMPRESSOR	Tag
4	28	WEATHER IMPACT MODELING OF SATELLITE BASED SERVICES	Tag
6	29	GATE DRIVER AND DISPLAY DEVICE INCLUDING SAME	Tag
-1	30	APPARATUS AND METHOD FOR MOTORIZED TRACTION DEVICE TO ASSIST ALPINE TOURING SNOW SPORT EQUIPMENT MOVEMENT	Tag
4	31	SECURE ELECTRONIC PAYMENT	Tag
-1	32	HARDWARE BASED MOTOR DRIVE CONTROLLER	Tag
0	33	INTEGRATED CIRCUIT PACKAGE STRUCTURE, INTEGRATED CIRCUIT PACKAGE UNIT AND ASSOCIATED PACKAGING METHOD	Tag
17	34	FXR (NR1H4) MODULATING COMPOUNDS	Tag
4	35	BROKER MEDIATED GEOSPATIAL INFORMATION SERVICE	Tag
0	36	DEVICE FOR FEEDING FILM FOR PACKAGING PRODUCTS	Tag
4	37	BEAMFORMING COMMUNICATION SYSTEM WITH CROSSBAR SWITCH	Tag
10	38	High Spatial Resolution Solid-State Image Sensor with Distributed Photomultiplier	Tag
11	39	VIBRATING MOTOR AND HAPTIC DEVICE	Tag
15	40	CONDUCTIVE POLYMERIC COMPOSITION AND METHOD FOR PREPARING THE CONDUCTIVE POLYMERIC COMPOSITION	Tag
4	41	USER EQUIPMENT, BASE STATIONS AND SIGNALING FOR MULTIPLE ACTIVE CONFIGURED GRANTS	Tag
6	42	DISPLAY APPARATUS	Tag
2	43	DEVICE FOR SUPPLYING POWER FROM VEHICLE BATTERY TO VEHICLE OUTSIDE AND VEHICLE BIDIRECTIONAL CHARGER INCLUDING SAME	Tag
17	44	BISPECIFIC ANTIBODIES TO ROR1 AND CD3	Tag
-1	45	VIEWING APPARATUS AND METHOD FOR PROJECTING A LIGHT SIGNAL	Tag
7	46	LIGHT-GUIDE PLATE, MANUFACTURING METHOD FOR THE SAME, LIGHT-GUIDE PLATE MODULE, AND IMAGE DISPLAY DEVICE	Tag
4	47	INSTRUCTION SUPPORT FOR SAVING AND RESTORING KEY INFORMATION	Tag
4	48	MULTI-FACTOR AUTHENTICATION USING CUSTOMIZABLE PHYSICAL SECURITY TOKEN	Tag
-1	49	CONNECTOR, CONNECTION ASSEMBLY, AND BACKPLANE INTERCONNECTION SYSTEM	Tag
7	50	SWITCH CONTROL SYSTEMS FOR LIGHT EMITTING DIODES AND METHODS THEREOF	Tag
-1	51	MACHINE TO RECOVER A CABLE	Tag
-1	52	MULTISTAGE ROLLING MILL AND METHOD OF CHANGING DIVIDED BACKING BEARING ASSEMBLED SHAFTS IN MULTISTAGE ROLLING MILL	Tag
