Topic	Doc_ID	Title	words
23	0	Patient Preference Distribution for Use of Statin Therapy	pulmonary heart ventricular af ecmo
-1	1	The Development and Piloting of the Ambulatory Electronic Health Record Evaluation Tool: Lessons Learned.	health care study research used
28	2	Mandibular Body Fractures.	fracture fractures fixation trauma injuries
-1	3	Outcomes After Tympanic Membrane Perforation During Primary Stapes Surgery for Otosclerosis.	health care study research used
-1	4	Large-scale mass spectrometry data combined with demographics analysis rapidly predicts methicillin resistance in Staphylococcus aureus.	health care study research used
-1	5	"Reply to ""Rituximab versus cyclophosphamide for remission induction in active, severe ANCA-associated vasculitis"""	health care study research used
9	6	BiTraP: Bi-Directional Pedestrian Trajectory Prediction With Multi-Modal Goal Estimation	learning network image deep neural
5	7	Studying the Conditions for Magnetic Reconnection in Solar Flares with and without Precursor Flares	surface italic satellite ocean observations
-1	8	Gamma-Ray Imaging Using Coincident Detection of Cherenkov Photons for Medical Applications	health care study research used
38	9	“Their Own Personal Unicorn”: The Workplace Experiences of Transgender Teachers	students chapter jats education student
30	10	Detecting Software Security Vulnerabilities via Requirements Dependency Analysis	security privacy computing attacks communication
-1	11	Vacuum-assisted headspace solid-phase microextraction and gas chromatography coupled to mass spectrometry applied to source rock analysis	health care study research used
-1	12	What Drives Brands’ Pricing Metrics? An Empirical Examination of the Chinese Packaged Goods Industry	health care study research used
5	13	The radio galaxy population in the SIMBA simulations	surface italic satellite ocean observations
3	14	Supplemental fumigant placement improves root-knot and Fusarium wilt management for tomatoes produced on a raised bed, plasti-culture system in Florida's Myakka fine sand.	plant plants species isolates cultivars
-1	15	Neural network representation of electronic structure from ab initio molecular dynamics	health care study research used
-1	16	Effectiveness of fidaxomicin versus oral vancomycin in the treatment of recurrent clostridioides difficile.	health care study research used
1	17	Screening and characterization of β-galactosidase activity in lactic acid bacteria for the valorization of acid whey	milk cows beef production semen
-1	18	Digital Mental Health Interventions for Depression	health care study research used
1	19	A genome-wide case-control association study of dark cutting in beef cattle	milk cows beef production semen
-1	20	Compositional Analysis of Interconnected Systems Using Delta Dissipativity	health care study research used
24	21	Venetoclax plus Dose-Adjusted R-EPOCH (VR-EPOCH) for Richter's Syndrome.	cell cells cancer tumor survival
-1	22	Resident Impacts for Queer Film Festivals: Assessing Benefits and Loyalty in Vancouver, British Columbia, Canada	health care study research used
14	23	Overview of the Referential Process: The Operation of Language Within and Between People.	brain neurofeedback eeg functional tms
35	24	The Internationalization of Domestic Banks and the Credit Channel of Monetary Policy	financial banks monetary debt stock
24	25	The Epithelial-Stromal Microenvironment in Early Colonic Neoplasia	cell cells cancer tumor survival
-1	26	An Integrated LoRa-Based IoT Platform Serving Smart Farming and Agro-Logistics	health care study research used
-1	27	Loneliness, Not Social Support, Is Associated with Cognitive Decline and Dementia Across Two Longitudinal Population-Based Cohorts.	health care study research used
-1	28	Pediatric Care for Immigrant, Refugee, and Internationally Adopted Children.	health care study research used
5	29	Using long temporal reference units to assess the spatial accuracy of global satellite-derived burned area products	surface italic satellite ocean observations
33	30	Understanding and Optimizing Physician Engagement.	privacy trust media influence marketing
9	31	Model-Based Deep Autoencoder Networks for Nonlinear Hyperspectral Unmixing	learning network image deep neural
25	32	Numerical Solution for a Controlled Nonconvex Sweeping Process	control optimization optimal problem tracking
-1	33	Existence and stability of vector solitary waves for nonlinear Schrödinger systems of Hartree-type with Bessel potential	health care study research used
23	34	Early detection of cardiovascular autonomic neuropathy: A multi-class classification model based on feature selection and deep learning feature fusion	pulmonary heart ventricular af ecmo
-1	35	Social-Spatial Group Queries with Keywords	health care study research used
38	36	A path to decolonization? Reducing air travel and resource consumption in higher education	students chapter jats education student
-1	37	Advances in understanding meso-cortico-limbic-striatal systems mediating risky reward seeking.	health care study research used
-1	38	The multi-user computer-aided design collaborative learning framework	health care study research used
-1	39	Computational design of thermoelectric alloys through optimization of transport and dopability.	health care study research used
